Player,Position,Price,form
Nikola Jokic,C,21.5,52.875
Luka Doncic,PG,21.4,68.175
Joel Embiid,C,21,67.375
Giannis Antetokounmpo,PF,20.3,64.275
Shai Gilgeous-Alexander,PG,18.8,56.075
Anthony Davis,C,18.7,60.25
LeBron James,SF,18.1,51.25
Tyrese Haliburton,PG,18.1,51.1
Jayson Tatum,SF,17.8,49.9
LaMelo Ball,PG,17.6,
Kevin Durant,PF,17.5,48.75
Devin Booker,PG,17.1,44.325
Trae Young,PG,17,54.7
Stephen Curry,PG,16.8,41.05
Domantas Sabonis,C,16.7,53.3
Damian Lillard,PG,16.6,42.325
Anthony Edwards,SG,16.5,48.3
Donovan Mitchell,SG,16.3,48.25
Ja Morant,PG,16.2,46.35
James Harden,PG,15.9,47.7
De'Aaron Fox,PG,15.9,46.35
Paul George,SF,15.6,38.575
Kyrie Irving,SG,15.5,46.2
Julius Randle,PF,15.5,45.4
Karl-Anthony Towns,PF,15.5,36.975
Victor Wembanyama,PF,15.3,48.35
Kawhi Leonard,SF,15.1,47.925
Scottie Barnes,SF,14.9,47.925
Desmond Bane,SG,14.9,41.3
Jalen Brunson,PG,14.7,47.175
Lauri Markkanen,PF,14.6,40.35
Cade Cunningham,PG,14.5,45.075
Zion Williamson,PF,14.5,36.85
Zach LaVine,SG,14.5,26.75
Bam Adebayo,C,14.3,45.125
Jamal Murray,PG,14.3,41.625
Pascal Siakam,PF,14.2,42.55
Tyrese Maxey,PG,14.2,40.3
Brandon Ingram,SF,14.2,38.1
Paolo Banchero,PF,14.1,46.125
Jaylen Brown,SG,14.1,38.7
Dejounte Murray,SG,14.1,38.15
Jimmy Butler,SF,14,33.375
Mikal Bridges,SF,14,28.8
Darius Garland,PG,13.8,42.025
DeMar DeRozan,SF,13.8,39.925
Fred VanVleet,PG,13.8,39.225
Alperen Sengün,C,13.8,42.675
Evan Mobley,PF,13.7,
Anfernee Simons,SG,13.5,38.2
Kyle Kuzma,PF,13.5,36.275
Terry Rozier,PG,13.3,44.6
Nikola Vucevic,C,13.3,41.175
Jaren Jackson Jr.,PF,13.2,37.475
CJ McCollum,SG,13.1,35.925
Kristaps Porzingis,PF,13,38.525
Deandre Ayton,C,13,32.675
Tyler Herro,SG,12.7,39.125
Jordan Poole,SG,12.7,26.275
Jrue Holiday,PG,12.6,30.5
Bradley Beal,SG,12.5,28.375
Rudy Gobert,C,12.3,32.45
Franz Wagner,SF,12.2,37.975
Spencer Dinwiddie,PG,12.2,30.375
Josh Giddey,SG,12.1,29.425
Keldon Johnson,SF,12,32.875
Jerami Grant,PF,12,32.075
Russell Westbrook,PG,12,26.1
Chet Holmgren,PF,11.9,36.95
Jalen Green,SG,11.9,27.475
Miles Bridges,SF,11.8,37.05
Myles Turner,C,11.8,31.725
Jonas Valanciunas,C,11.7,36.2
Aaron Holiday,PG,11.7,11.85
